                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5831,                 5.6935,                 1.6631,                 0.0006,                  1e-05,                 0.0003,                  8e-05,                 3.1821,                    inf,                 1.4977,              0.0033287,              0.0033287,              0.0033287
                      2,                 3.1595,                  4.727,                 1.3982,                0.00237,                0.00145,                0.00126,                0.00034,                 3.4665,                    inf,                 1.7682,               0.006596,               0.006596,               0.006596
                      3,                 3.0164,                 3.9402,                 1.4135,                0.49204,                0.00107,                0.00135,                0.00059,                 3.3923,                 62.485,                 1.8098,              0.0097974,              0.0097974,              0.0097974
                      4,                 2.9393,                 3.7994,                 1.3886,                0.00602,                0.00517,                0.00404,                0.00191,                 3.1535,                    inf,                  1.573,               0.009703,               0.009703,               0.009703
                      5,                 2.8283,                 3.7013,                 1.3322,                0.01113,                0.00541,                 0.0064,                0.00304,                 2.9718,                    inf,                 1.5466,               0.009703,               0.009703,               0.009703
                      6,                  2.726,                 3.6375,                 1.2997,                0.01768,                 0.0161,                0.01053,                0.00544,                 2.9495,                    inf,                  1.492,               0.009604,               0.009604,               0.009604
                      7,                 2.6656,                 3.5988,                 1.2793,                0.00915,                0.00665,                0.00541,                0.00243,                 3.3916,                  57.07,                  1.748,               0.009505,               0.009505,               0.009505
                      8,                 2.6153,                 3.5515,                  1.249,                  0.012,                0.02062,                0.00787,                0.00376,                  3.084,                 34.374,                 1.5208,               0.009406,               0.009406,               0.009406
                      9,                 2.5711,                 3.5029,                 1.2314,                0.01611,                0.01279,                0.00968,                0.00496,                 2.9692,                    inf,                 1.4882,               0.009307,               0.009307,               0.009307
                     10,                 2.5621,                 3.4908,                 1.2233,                0.00827,                0.00657,                0.00512,                0.00209,                 3.1053,                    inf,                 1.5433,               0.009208,               0.009208,               0.009208
                     11,                 2.5171,                 3.4796,                 1.2191,                0.01528,                0.01191,                0.00931,                0.00415,                 2.9644,                    inf,                 1.4626,               0.009109,               0.009109,               0.009109
                     12,                 2.4965,                 3.4491,                 1.2165,                0.00786,                0.00651,                0.00496,                 0.0023,                 3.0964,                    inf,                 1.6116,                0.00901,                0.00901,                0.00901
